chr1	11212	12009	+
chr1	11672	12009	+
chr1	11845	12009	+
chr1	12058	12178	+
chr1	12228	12496	+
chr1	12228	12594	+
chr1	12228	12612	+
chr1	12228	12645	+
chr1	12457	12612	+
chr1	12698	12974	+
chr1	12698	13402	+
chr1	12698	13452	+
chr1	12698	13482	+
chr1	12698	13486	+
chr1	12722	13220	+
chr1	12722	13402	+
chr1	12722	13452	+
chr1	12722	13482	+
chr1	12722	13486	+
chr1	12722	13564	+
chr1	13053	13220	+
chr1	13375	13452	+
chr1	14451	16875	-
chr1	14538	16875	-
chr1	14570	16853	-
chr1	14570	16857	-
chr1	14615	16857	-
chr1	14738	14969	-
chr1	14765	24845	+
chr1	14788	16875	-
chr1	14830	14929	-
chr1	14830	14969	-
chr1	14830	15020	-
chr1	14830	15795	-
chr1	14830	16606	-
chr1	14830	16853	-
chr1	14830	16857	-
chr1	14830	29320	-
chr1	15039	15795	-
chr1	15039	16606	-
chr1	15039	16853	-
chr1	15039	16857	-
chr1	15039	29320	-
chr1	15060	15795	-
chr1	15943	16606	-
chr1	15948	16606	-
chr1	16028	16606	-
chr1	16311	16606	-
chr1	16712	16853	-
chr1	16712	16857	-
chr1	16766	16853	-
chr1	16766	16857	-
chr1	16766	16875	-
chr1	16789	16853	-
chr1	16789	16857	-
chr1	17017	18345	-
chr1	17049	17605	-
chr1	17049	17914	-
chr1	17056	17232	-
chr1	17056	17258	-
chr1	17056	17525	-
chr1	17056	17605	-
chr1	17056	17914	-
chr1	17056	24737	-
chr1	17056	29320	-
chr1	17365	17605	-
chr1	17369	17525	-
chr1	17369	17605	-
chr1	17369	17914	-
chr1	17369	29320	-
chr1	17743	17839	-
chr1	17743	17914	-
chr1	17743	18267	-
chr1	17743	29320	-
chr1	18062	18267	-
chr1	18062	18912	-
chr1	18062	24737	-
chr1	18062	29320	-
chr1	18062	29823	-
chr1	18363	18496	-
chr1	18363	29320	-
chr1	18367	18912	-
chr1	18367	24737	-
chr1	18367	29320	-
chr1	18367	29533	-
chr1	18367	29823	-
chr1	18370	18500	-
chr1	18370	18912	-
chr1	18370	24737	-
chr1	18370	29320	-
chr1	18370	30662	-
chr1	18380	18496	-
chr1	18380	18500	-
chr1	18380	18912	-
chr1	18380	24737	-
chr1	18380	29320	-
chr1	18555	18912	-
chr1	18555	24737	-
chr1	18555	29320	-
chr1	19076	24737	-
chr1	19140	24737	-
chr1	19140	29320	-
chr1	20287	24737	-
chr1	23473	24737	-
chr1	23619	24737	-
chr1	24418	24737	-
chr1	24421	24737	-
chr1	24440	24737	-
chr1	24467	24737	-
